t,Part1,Part2,Part3,Part4,Part5
0.0,900.0,900.0,900.0,840.0,520.0
0.06030150753768844,896.2222540997913,889.0718844815135,896.1899258385566,841.9925752665511,513.7024683297369
0.12060301507537688,893.9869852570712,878.9915571679437,891.1170489153665,843.8340968347319,507.7833501138708
0.18090452261306533,893.3620751310015,870.2043958769118,885.1985798105901,845.5002448698067,502.2088530166335
0.24120603015075376,894.3423992763264,863.0656229488128,878.8501077946994,846.9781684292616,496.9491723935736
0.3015075376884422,896.8552819085072,857.8338408573879,872.4692528695039,848.2659351851854,491.977914832432
0.36180904522613067,900.7680814126487,854.6677587655018,866.4215450748925,849.3716034040835,487.2716337119362
0.4221105527638191,905.8977888344718,853.6261487328876,861.0283077795743,850.3119761704593,482.8094431573256
0.4824120603015075,912.0223100739125,854.6713149310582,856.5568661011323,851.1111060741579,478.57269811308953
0.542713567839196,918.893059588113,857.6762515682096,853.213279740922,851.7986129247524,474.54472568253317
0.6030150753768844,926.2482528266966,862.4353156603004,851.1377558266252,852.4078956171077,470.71059459010104
0.6633165829145728,933.8263132074595,868.6782196027586,850.402965755222,852.974304263033,467.05691643027563
0.7236180904522613,941.3786481071866,876.0867401191498,851.0153569234902,853.5333543864028,463.5716712500573
0.7839195979899497,948.6810912817123,884.3133049920939,852.919408118221,854.1190581526344,460.24405267598917
0.8442211055276382,955.5433758433278,893.0004182839223,856.0046346334898,854.7624428741384,457.0643290842758
0.9045226130653266,961.8161187853343,901.7997032200749,860.1149512821954,855.4903201409192,454.0237181545075
0.964824120603015,967.3950232504202,910.3893696554827,865.0598386596025,856.3243517901516,451.11427313678405
1.0251256281407035,972.2222080363218,918.4890028923953,870.6266208349733,857.2804434770743,448.3287796184312
1.085427135678392,976.2848034882752,925.870813302614,876.5930820892225,858.3684770082103,445.66066210589344
1.1457286432160803,979.6111602787264,932.3668256292787,882.7396354045684,859.5923711523027,443.10390000692666
1.2060301507537687,982.2651616453434,937.8718728129198,888.8603265143192,860.9504419016522,440.65295277294234
1.2663316582914572,984.339213950629,942.3426250636847,894.7720860646368,862.4360167522733,438.3026940095991
1.3266331658291457,985.9465158130441,945.7931970233138,900.3218167803353,864.0382448241683,436.0483543317553
1.3869346733668342,987.2131350914508,948.2880452842544,905.3911203554243,865.7430412384637,433.88547266306756
1.4472361809045227,988.2703937734883,949.9330046901637,909.8986270868055,867.5340980864872,431.80985554162027
1.507537688442211,989.2479135536948,950.8652679491261,913.8000993780684,869.3939016009106,429.81754388970637
1.5678391959798994,990.2675890484535,951.2430391460006,917.086583532777,871.3047011955589,427.90478656593916
1.6281407035175879,991.4386574775688,951.2354748305768,919.7809759047866,873.2493849490163,426.0680199280244
1.6884422110552764,992.8539422830627,951.0133665892068,921.9333995048963,875.2122287467848,424.30385257549324
1.7487437185929648,994.5872882259459,950.7409004382417,923.6157923414013,877.1794962281627,422.6090543997383
1.809045226130653,996.6921512183033,950.5687071351041,924.916083034507,879.1398778188543,420.98054906782875
1.8693467336683416,999.2012686940262,950.6283235751015,925.9322821926198,881.0847666963158,419.4154091066006
1.92964824120603,1002.1273099879504,951.0281183693354,926.7667681701826,883.0083770402692,417.9108528142285
1.9899497487437185,1005.4643779924754,951.8506833576319,927.521009754855,884.9077167599634,416.46424225871596
2.050251256281407,1009.190219182797,953.151638106545,928.2908954477252,886.7824322165159,415.07308177251184
2.1105527638190953,1013.2689824499283,954.9597675347937,929.1628116186006,888.6345455637033,413.7350164109578
2.170854271356784,1017.6543606544828,957.2783728835276,930.2105582043758,890.468107733,412.44782997224956
2.2311557788944723,1022.29293506452,960.0876809482036,931.4931612587164,892.2887920741271,411.20944225557236
2.2914572864321605,1027.1275514197948,963.3481243261324,933.0535915981169,894.1034532201253,410.01790536983987
2.351758793969849,1032.100558518782,967.004277468929,934.9183708510551,895.9196754960773,408.87139898163304
2.4120603015075375,1037.1567599761709,970.989211696312,937.0980040833844,897.7453332307944,407.76822449912885
2.472361809045226,1042.2459507806507,975.2290217825627,939.5881496189689,899.5881830590397,406.7067982594473
2.5326633165829144,1047.3249427877756,979.6472793771791,942.3714051000426,901.455504869161,405.6856438618511
